Sensor, Timestamp, Value
LoadCell, 2024-05-02 19:21:12.032805, None
DMM, 2024-05-02 19:21:12.032805, 806013.081
LoadCell, 2024-05-02 19:21:12.736987, 1e-05
DMM, 2024-05-02 19:21:12.736987, 804679.506
LoadCell, 2024-05-02 19:21:12.759486, None
DMM, 2024-05-02 19:21:12.759486, 804570.123
LoadCell, 2024-05-02 19:21:12.781645, None
DMM, 2024-05-02 19:21:12.781645, 804658.827
LoadCell, 2024-05-02 19:21:12.799092, None
DMM, 2024-05-02 19:21:12.799092, 803167.834
LoadCell, 2024-05-02 19:21:12.817715, None
DMM, 2024-05-02 19:21:12.817715, 802924.682
LoadCell, 2024-05-02 19:21:12.840090, 0.00015
DMM, 2024-05-02 19:21:12.840090, 803205.542
LoadCell, 2024-05-02 19:21:12.859755, None
DMM, 2024-05-02 19:21:12.859755, 803768.999
LoadCell, 2024-05-02 19:21:12.880265, None
DMM, 2024-05-02 19:21:12.880265, 803929.328
LoadCell, 2024-05-02 19:21:12.900239, None
DMM, 2024-05-02 19:21:12.900239, 803943.616
LoadCell, 2024-05-02 19:21:12.920197, None
DMM, 2024-05-02 19:21:12.920197, 803514.005
LoadCell, 2024-05-02 19:21:12.939373, 9e-05
DMM, 2024-05-02 19:21:12.939373, 802789.524
LoadCell, 2024-05-02 19:21:12.958745, None
DMM, 2024-05-02 19:21:12.958745, 804559.869
LoadCell, 2024-05-02 19:21:12.979271, None
DMM, 2024-05-02 19:21:12.979271, 804471.772
LoadCell, 2024-05-02 19:21:13.001180, None
DMM, 2024-05-02 19:21:13.001180, 805691.482
LoadCell, 2024-05-02 19:21:13.019326, None
DMM, 2024-05-02 19:21:13.019326, 808884.803
LoadCell, 2024-05-02 19:21:13.040509, 4e-05
DMM, 2024-05-02 19:21:13.040509, 809512.049
LoadCell, 2024-05-02 19:21:13.058656, None
DMM, 2024-05-02 19:21:13.058656, 808231.915
LoadCell, 2024-05-02 19:21:13.078553, None
DMM, 2024-05-02 19:21:13.078553, 806819.834
LoadCell, 2024-05-02 19:21:13.100691, None
DMM, 2024-05-02 19:21:13.100691, 807460.06
LoadCell, 2024-05-02 19:21:13.119491, None
DMM, 2024-05-02 19:21:13.119491, 807048.757
LoadCell, 2024-05-02 19:21:13.138917, 7e-05
DMM, 2024-05-02 19:21:13.138917, 806736.672
LoadCell, 2024-05-02 19:21:13.158931, None
DMM, 2024-05-02 19:21:13.158931, 806673.974
LoadCell, 2024-05-02 19:21:13.179757, None
DMM, 2024-05-02 19:21:13.179757, 806427.389
LoadCell, 2024-05-02 19:21:13.199302, None
DMM, 2024-05-02 19:21:13.199302, 805397.82
LoadCell, 2024-05-02 19:21:13.221655, None
DMM, 2024-05-02 19:21:13.221655, 806960.66
LoadCell, 2024-05-02 19:21:13.239654, 2e-05
DMM, 2024-05-02 19:21:13.239654, 807556.15
LoadCell, 2024-05-02 19:21:13.259366, None
DMM, 2024-05-02 19:21:13.259366, 809153.523
LoadCell, 2024-05-02 19:21:13.279399, None
DMM, 2024-05-02 19:21:13.279399, 809502.458
LoadCell, 2024-05-02 19:21:13.298509, None
DMM, 2024-05-02 19:21:13.298509, 810140.271
LoadCell, 2024-05-02 19:21:13.321133, None
DMM, 2024-05-02 19:21:13.321133, 809897.983
LoadCell, 2024-05-02 19:21:13.340058, 0.00012
DMM, 2024-05-02 19:21:13.340058, 809754.174
LoadCell, 2024-05-02 19:21:13.359716, None
DMM, 2024-05-02 19:21:13.359716, 811247.914
LoadCell, 2024-05-02 19:21:13.378660, None
DMM, 2024-05-02 19:21:13.378660, 811988.671
LoadCell, 2024-05-02 19:21:13.398904, None
DMM, 2024-05-02 19:21:13.398904, 812912.838
LoadCell, 2024-05-02 19:21:13.419721, None
DMM, 2024-05-02 19:21:13.419721, 811814.909
LoadCell, 2024-05-02 19:21:13.441038, 2e-05
DMM, 2024-05-02 19:21:13.441038, 809952.866
LoadCell, 2024-05-02 19:21:13.459308, None
DMM, 2024-05-02 19:21:13.459308, 811997.965
LoadCell, 2024-05-02 19:21:13.479636, None
DMM, 2024-05-02 19:21:13.479636, 812480.918
LoadCell, 2024-05-02 19:21:13.499572, None
DMM, 2024-05-02 19:21:13.499572, 811068.202
LoadCell, 2024-05-02 19:21:13.519503, None
DMM, 2024-05-02 19:21:13.519503, 810840.265
LoadCell, 2024-05-02 19:21:13.541088, 3e-05
DMM, 2024-05-02 19:21:13.541088, 810558.753
LoadCell, 2024-05-02 19:21:13.559614, None
DMM, 2024-05-02 19:21:13.559614, 810005.029
LoadCell, 2024-05-02 19:21:13.578603, None
DMM, 2024-05-02 19:21:13.578603, 811592.39
LoadCell, 2024-05-02 19:21:13.599533, None
DMM, 2024-05-02 19:21:13.599533, 814053.246
LoadCell, 2024-05-02 19:21:13.619475, None
DMM, 2024-05-02 19:21:13.619475, 813616.556
LoadCell, 2024-05-02 19:21:13.639368, 0.0
DMM, 2024-05-02 19:21:13.639368, 813675.132
LoadCell, 2024-05-02 19:21:13.661286, None
DMM, 2024-05-02 19:21:13.661286, 814375.591
LoadCell, 2024-05-02 19:21:13.678560, None
DMM, 2024-05-02 19:21:13.678560, 814029.693
LoadCell, 2024-05-02 19:21:13.698521, None
DMM, 2024-05-02 19:21:13.698521, 814033.586
LoadCell, 2024-05-02 19:21:13.719369, None
DMM, 2024-05-02 19:21:13.719369, 814730.836
LoadCell, 2024-05-02 19:21:13.739054, 0.00011
DMM, 2024-05-02 19:21:13.739054, 815408.59
LoadCell, 2024-05-02 19:21:13.761226, None
DMM, 2024-05-02 19:21:13.761226, 817466.749
LoadCell, 2024-05-02 19:21:13.779689, None
DMM, 2024-05-02 19:21:13.779689, 817105.716
LoadCell, 2024-05-02 19:21:13.799644, None
DMM, 2024-05-02 19:21:13.799644, 817204.645
LoadCell, 2024-05-02 19:21:13.819629, None
DMM, 2024-05-02 19:21:13.819629, 815815.361
LoadCell, 2024-05-02 19:21:13.839024, 7e-05
DMM, 2024-05-02 19:21:13.839024, 814430.019
LoadCell, 2024-05-02 19:21:13.858882, None
DMM, 2024-05-02 19:21:13.858882, 816849.03
LoadCell, 2024-05-02 19:21:13.881582, None
DMM, 2024-05-02 19:21:13.881582, 816491.548
LoadCell, 2024-05-02 19:21:13.899474, None
DMM, 2024-05-02 19:21:13.899474, 817648.995
LoadCell, 2024-05-02 19:21:13.918922, None
DMM, 2024-05-02 19:21:13.918922, 815817.114
LoadCell, 2024-05-02 19:21:13.939597, 4e-05
DMM, 2024-05-02 19:21:13.939597, 815435.036
LoadCell, 2024-05-02 19:21:13.959667, None
DMM, 2024-05-02 19:21:13.959667, 816285.424
LoadCell, 2024-05-02 19:21:13.980142, None
DMM, 2024-05-02 19:21:13.980142, 815997.988
LoadCell, 2024-05-02 19:21:14.000082, None
DMM, 2024-05-02 19:21:14.000082, 817667.7
LoadCell, 2024-05-02 19:21:14.018616, None
DMM, 2024-05-02 19:21:14.018616, 819907.477
LoadCell, 2024-05-02 19:21:14.039001, 8e-05
DMM, 2024-05-02 19:21:14.039001, 818792.89
LoadCell, 2024-05-02 19:21:14.058722, None
DMM, 2024-05-02 19:21:14.058722, 820124.269
LoadCell, 2024-05-02 19:21:14.078777, None
DMM, 2024-05-02 19:21:14.078777, 820849.813
LoadCell, 2024-05-02 19:21:14.101548, None
DMM, 2024-05-02 19:21:14.101548, 822041.7
LoadCell, 2024-05-02 19:21:14.119158, None
DMM, 2024-05-02 19:21:14.119158, 822092.453
LoadCell, 2024-05-02 19:21:14.140041, 9e-05
DMM, 2024-05-02 19:21:14.140041, 821842.567
LoadCell, 2024-05-02 19:21:14.159503, None
DMM, 2024-05-02 19:21:14.159503, 823632.958
LoadCell, 2024-05-02 19:21:14.178540, None
DMM, 2024-05-02 19:21:14.178540, 824237.154
LoadCell, 2024-05-02 19:21:14.200515, None
DMM, 2024-05-02 19:21:14.200515, 824412.895
LoadCell, 2024-05-02 19:21:14.218636, None
DMM, 2024-05-02 19:21:14.218636, 823469.126
LoadCell, 2024-05-02 19:21:14.238992, 0.0
DMM, 2024-05-02 19:21:14.238992, 822133.339
LoadCell, 2024-05-02 19:21:14.258632, None
DMM, 2024-05-02 19:21:14.258632, 823220.712
LoadCell, 2024-05-02 19:21:14.278636, None
DMM, 2024-05-02 19:21:14.278636, 822661.878
LoadCell, 2024-05-02 19:21:14.299298, None
DMM, 2024-05-02 19:21:14.299298, 821683.345
LoadCell, 2024-05-02 19:21:14.320737, None
DMM, 2024-05-02 19:21:14.320737, 819968.569
LoadCell, 2024-05-02 19:21:14.338985, 0.0001
DMM, 2024-05-02 19:21:14.338985, 818179.788
LoadCell, 2024-05-02 19:21:14.358773, None
DMM, 2024-05-02 19:21:14.358773, 818295.478
LoadCell, 2024-05-02 19:21:14.378708, None
DMM, 2024-05-02 19:21:14.378708, 818060.584
LoadCell, 2024-05-02 19:21:14.399355, None
DMM, 2024-05-02 19:21:14.399355, 817024.991
LoadCell, 2024-05-02 19:21:14.421128, None
DMM, 2024-05-02 19:21:14.421128, 816694.224
LoadCell, 2024-05-02 19:21:14.439145, 3e-05
DMM, 2024-05-02 19:21:14.439145, 816048.604
LoadCell, 2024-05-02 19:21:14.459725, None
DMM, 2024-05-02 19:21:14.459725, 818033.904
LoadCell, 2024-05-02 19:21:14.479426, None
DMM, 2024-05-02 19:21:14.479426, 820495.072
LoadCell, 2024-05-02 19:21:14.499579, None
DMM, 2024-05-02 19:21:14.499579, 823813.698
LoadCell, 2024-05-02 19:21:14.518650, None
DMM, 2024-05-02 19:21:14.518650, 824224.562
LoadCell, 2024-05-02 19:21:14.542434, 1e-05
DMM, 2024-05-02 19:21:14.542434, 822760.059
LoadCell, 2024-05-02 19:21:14.559115, None
DMM, 2024-05-02 19:21:14.559115, 823060.723
LoadCell, 2024-05-02 19:21:14.578459, None
DMM, 2024-05-02 19:21:14.578459, 821300.107
LoadCell, 2024-05-02 19:21:14.598584, None
DMM, 2024-05-02 19:21:14.598584, 821323.242
LoadCell, 2024-05-02 19:21:14.618693, None
DMM, 2024-05-02 19:21:14.618693, 820361.935
LoadCell, 2024-05-02 19:21:14.641615, 5e-05
DMM, 2024-05-02 19:21:14.641615, 819117.371
LoadCell, 2024-05-02 19:21:14.660037, None
DMM, 2024-05-02 19:21:14.660037, 820177.1
LoadCell, 2024-05-02 19:21:14.679320, None
DMM, 2024-05-02 19:21:14.679320, 820059.719
LoadCell, 2024-05-02 19:21:14.699523, None
DMM, 2024-05-02 19:21:14.699523, 821240.469
LoadCell, 2024-05-02 19:21:14.719615, None
DMM, 2024-05-02 19:21:14.719615, 820159.761
LoadCell, 2024-05-02 19:21:14.738961, 3e-05
DMM, 2024-05-02 19:21:14.738961, 818516.323
LoadCell, 2024-05-02 19:21:14.760921, None
DMM, 2024-05-02 19:21:14.760921, 819224.755
LoadCell, 2024-05-02 19:21:14.779290, None
DMM, 2024-05-02 19:21:14.779290, 818938.318
LoadCell, 2024-05-02 19:21:14.798633, None
DMM, 2024-05-02 19:21:14.798633, 819752.468
LoadCell, 2024-05-02 19:21:14.820071, None
DMM, 2024-05-02 19:21:14.820071, 819722.958
LoadCell, 2024-05-02 19:21:14.839067, 2e-05
DMM, 2024-05-02 19:21:14.839067, 817415.251
LoadCell, 2024-05-02 19:21:14.861070, None
DMM, 2024-05-02 19:21:14.861070, 816126.956
LoadCell, 2024-05-02 19:21:14.880724, None
DMM, 2024-05-02 19:21:14.880724, 815391.063
LoadCell, 2024-05-02 19:21:14.899243, None
DMM, 2024-05-02 19:21:14.899243, 815184.686
LoadCell, 2024-05-02 19:21:14.918630, None
DMM, 2024-05-02 19:21:14.918630, 817024.01
